user_id,username,email,password,first_name,last_name,date_of_birth
1,taylorkim,taylorkim@example.com,REDACTED,Taylor,Kim,1997-01-12
2,rileygray,rileygray@example.com,REDACTED,Riley,Gray,1997-11-28
3,jamiejames,jamiejames@example.com,REDACTED,Jamie,James,2000-03-18
4,robindiaz,robindiaz@example.com,REDACTED,Robin,Diaz,1996-04-06
5,julesramirez,julesramirez@example.com,REDACTED,Jules,Ramirez,2000-06-10
6,peytonjames,peytonjames@example.com,REDACTED,Peyton,James,2002-03-27
7,quinnramos,quinnramos@example.com,REDACTED,Quinn,Ramos,2000-11-10
8,mayagonzalez,mayagonzalez@example.com,REDACTED,Maya,Gonzalez,2000-11-06
9,morgankelly,morgankelly@example.com,REDACTED,Morgan,Kelly,2005-12-09
10,noahscott,noahscott@example.com,REDACTED,Noah,Scott,2004-08-15
11,julessantos,julessantos@example.com,REDACTED,Jules,Santos,1997-12-08
12,skylerali,skylerali@example.com,REDACTED,Skyler,Ali,2004-09-21
13,mayali,mayali@example.com,REDACTED,Maya,Li,2000-05-22
14,patgray,patgray@example.com,REDACTED,Pat,Gray,2004-07-23
15,mayabell,mayabell@example.com,REDACTED,Maya,Bell,1996-08-19
16,linasingh,linasingh@example.com,REDACTED,Lina,Singh,1998-12-21
17,patramirez,patramirez@example.com,REDACTED,Pat,Ramirez,2000-09-04
18,zoecook,zoecook@example.com,REDACTED,Zoe,Cook,2004-02-13
19,morgannguyen,morgannguyen@example.com,REDACTED,Morgan,Nguyen,1998-05-02
20,patwatson,patwatson@example.com,REDACTED,Pat,Watson,2000-06-22
21,chriscook,chriscook@example.com,REDACTED,Chris,Cook,2003-04-26
22,averyortiz,averyortiz@example.com,REDACTED,Avery,Ortiz,1996-03-18
23,caseyscott,caseyscott@example.com,REDACTED,Casey,Scott,2004-12-21
24,mayaramirez,mayaramirez@example.com,REDACTED,Maya,Ramirez,2003-06-08
25,sethprice,sethprice@example.com,REDACTED,Seth,Price,1997-12-15
26,alexcruz,alexcruz@example.com,REDACTED,Alex,Cruz,1997-02-02
27,reeseramos,reeseramos@example.com,REDACTED,Reese,Ramos,1998-03-24
28,cameronsantos,cameronsantos@example.com,REDACTED,Cameron,Santos,2005-02-12
29,evangonzalez,evangonzalez@example.com,REDACTED,Evan,Gonzalez,1995-09-27
30,alexcook,alexcook@example.com,REDACTED,Alex,Cook,1999-12-07
31,zoegray,zoegray@example.com,REDACTED,Zoe,Gray,2001-04-05
32,jordangomez,jordangomez@example.com,REDACTED,Jordan,Gomez,1995-05-28
33,cameronmurphy,cameronmurphy@example.com,REDACTED,Cameron,Murphy,2002-05-15
34,jamiechen,jamiechen@example.com,REDACTED,Jamie,Chen,1996-10-28
35,cameroncook,cameroncook@example.com,REDACTED,Cameron,Cook,2001-03-04
36,jamiepark,jamiepark@example.com,REDACTED,Jamie,Park,2001-02-03
37,devonjames,devonjames@example.com,REDACTED,Devon,James,2000-09-04
38,rowanlopez,rowanlopez@example.com,REDACTED,Rowan,Lopez,1995-12-11
39,alexpatel,alexpatel@example.com,REDACTED,Alex,Patel,2004-01-22
40,chrisprice,chrisprice@example.com,REDACTED,Chris,Price,2004-10-05
41,reeselopez,reeselopez@example.com,REDACTED,Reese,Lopez,1995-05-24
42,zoenguyen,zoenguyen@example.com,REDACTED,Zoe,Nguyen,2003-11-16
43,taylormurphy,taylormurphy@example.com,REDACTED,Taylor,Murphy,2004-07-24
44,loganward,loganward@example.com,REDACTED,Logan,Ward,1995-12-22
45,rowanbrooks,rowanbrooks@example.com,REDACTED,Rowan,Brooks,1999-02-12
46,drewgomez,drewgomez@example.com,REDACTED,Drew,Gomez,2004-09-24
47,loganbell,loganbell@example.com,REDACTED,Logan,Bell,1997-07-28
48,linapark,linapark@example.com,REDACTED,Lina,Park,1995-12-06
49,ninascott,ninascott@example.com,REDACTED,Nina,Scott,1996-10-27
50,skylermurphy,skylermurphy@example.com,REDACTED,Skyler,Murphy,1997-06-23
51,quinnflores,quinnflores@example.com,REDACTED,Quinn,Flores,1995-01-11
